Id;Default;Deutsch;Englisch;De
225;Erdsonde Abtastung;;;
226;Aus Stufe 3;;;
227;Regelparameter Ventil Verdampfer;;;
228;Ventil Verdampfer;;;
229;Sollwerte zurücksetzen;;;
230;Anlage;;;
231;Wochentag;;;
232;Uhrzeit;;;
233;Dauer;;;
234;Tag Nacht Umschaltung Kühlkurve;;;
235;Sollwerte Speicher Kaltwasser;;;
236;Pumpe Kondensator;;;
237;Ventil Kondensator;;;
238;Sollwerte Pumpe Kondensator;;;
239;Regelparameter Ventil Kondensator;;;
240;KW;;;
241;Sollwerte Hochaltung;;;
242;Sollwerte HWP;;;
243;Sollwerte TWW;;;
244;Heizungswarmwasser;;;
245;Trinkwasserwärmer;;;
246;Tag Nacht Umschaltung Heizkurve;;;
247;Sollwert Natural Cooling;;;
248;Sollwerte Heizungswarmwasser;;;
249;Sollwerte Trinkwasserwärmer;;;
250;Sollwerte Pumpe Kaltwasser;;;
251;Tag Nacht Umschaltung Heizkurve;;;
252;Hochhaltung Heizungswarmwasser;;;
253;Hochhaltung Trinkwasserwärmer;;;
254;Zwangsladung 1;;;
255;Zwangsladung 2;;;
256;Sollwerte Pumpe Trinkwasserwärmer;;;
257;Pumpe Trinkwasserwärmer;;;
258;Alarmliste;;;
259;Pumpe Speicher Kaltwasser;;;
260;Sollwerte Pumpe;;;
261;Pumpe Zirkulation;;;
262;Sollwerte Pumpe Zirkulation;;;
263;Wochenprogramm;;;
264;Einschaltverzögerung;;;
265;Rückmeldungsverzögerung;;;
266;Zusatzheizung;;;
267;Sollwerte Zusatzheizung;;;
268;Wert Manuell;;;
269;Hauptmenü Inbetriebsetzung;;;
270;Jahr;;;
271;Jahr ändern;;;
272;Monat;;;
273;Monatstag;;;
274;Monat ändern;;;
275;Monatstag ändern;;;
276;Wochentag ändern;;;
277;Uhrzeit ändern;;;
278;Uhrzeit aktivieren;;;
279;Karte;;;
280;Res;;;
281;löschen;;;
282;quittieren;;;
;;;;
