Id;Default;Deutsch;Englisch;De
223;Alarm 223;;;
224;Alarm 224;;;
225;Alarm 225;;;
226;Alarm 226;;;
227;Alarm 227;;;
228;Alarm 228;;;
229;Alarm 229;;;
230;Alarm 230;;;
231;Logger Datei Öffnen Fehler;;;
232;Logger Datei Schreiben Fehler;;;
233;Logger Datei Schliessen Fehler;;;
234;Logger Datei Löschen Fehler;;;
235;Alarm 235;;;
236;Alarm 236;;;
237;Alarm 237;;;
238;Alarm 238;;;
239;Alarm 239;;;
240;Alarm 240;;;
241;Alarm 241;;;
242;Alarm 242;;;
243;Alarm 243;;;
244;Alarm 244;;;
245;Alarm 245;;;
246;Alarm 246;;;
247;Alarm 247;;;
248;Alarm 248;;;
249;Alarm 249;;;
250;Alarm 250;;;
251;Alarm 251;;;
252;Alarm 252;;;
253;Alarm 253;;;
254;Alarm 254;;;
255;Alarm 255;;;
256;Alarm 256;;;
257;Alarm 257;;;
258;Alarm 258;;;
259;Alarm 259;;;
260;Alarm 260;;;
261;Alarm 261;;;
262;Alarm 262;;;
263;Alarm 263;;;
264;Alarm 264;;;
265;Alarm 265;;;
266;Alarm 266;;;
267;Alarm 267;;;
268;Alarm 268;;;
269;Alarm 269;;;
270;Alarm 270;;;
271;Alarm 271;;;
272;Alarm 272;;;
273;Alarm 273;;;
274;Alarm 274;;;
275;Alarm 275;;;
276;Alarm 276;;;
277;Alarm 277;;;
278;Alarm 278;;;
279;Alarm 279;;;
280;Alarm 280;;;
281;Alarm 281;;;
282;Alarm 282;;;
283;Alarm 283;;;
284;Alarm 284;;;
285;Alarm 285;;;
286;Alarm 286;;;
287;Alarm 287;;;
288;Alarm 288;;;
289;Alarm 289;;;
290;Alarm 290;;;
291;Alarm 291;;;
292;Alarm 292;;;
293;Alarm 293;;;
294;Alarm 294;;;
295;Alarm 295;;;
296;Alarm 296;;;
297;Alarm 297;;;
298;Alarm 298;;;
299;Alarm 299;;;
300;Alarm 300;;;
;;;;
